ID zariadenia;Zákazník;Segment;Kraj;Typ zariadenia;Výrobca;Typové označenie;Dátum inštalácie;Záruka do;Prevádzkové hodiny;Menovitý tlak (bar);Prietok (l/min);Príkon (kW);Dátum posledného servisu;Typ posledného zásahu;Teplota oleja (°C);Čistota oleja (ISO 4406);Havarijné zásahy za 24 mes.;Náklady na diely za 24 mes. (EUR);Stav zariadenia
HYT-2106;Vodohospodár Západ a.s.;Energetika;Bratislavský;Hydraulický zdvíhací stôl;FLUIDMAX;FL-CH-95B;09.11.2025;09.11.2027;897;315;111;54.6;11.06.2026;Lisovanie hadíc na mieste;56;nemerané;0;523,19;Obmedzená prevádzka
HYT-2107;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Čerpadlová jednotka;HYDROMET;HY-CH-41A;02.02.2025;02.02.2027;2483;315;34;64.6;09.03.2025;Uvedenie do prevádzky;64;21/19/16;3;2418,32;V prevádzke
HYT-2108;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Čerpadlová jednotka;FLUIDMAX;FL-CH-75A;14.01.2021;14.01.2023;11379;315;138;44.2;02.12.2025;Preventívna prehliadka;39;17/15/12;0;243,35;V prevádzke
HYT-2109;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Hydraulický zdvíhací stôl;FLUIDMAX;FL-NG-37C;16.12.2014;15.12.2016;25300;250;118;41.1;23.10.2025;Havarijná oprava;66;20/18/15;3;2745,60;Na vyradenie
HYT-2110;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Generátor dusíka;FLUIDMAX;FL-AT-36B;07.05.2021;06.05.2024;9405;10;6;18.4;28.11.2024;Havarijná oprava;;nemerané;0;835,13;V prevádzke
HYT-2111;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Pneumatický ovládací panel;AXIOMA;AX-PP-78A;16.05.2024;16.05.2027;3034;6;1207;7.1;03.11.2024;Výmena filtračnej vložky;;nemerané;0;0,00;V prevádzke
HYT-2112;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Filtračná stanica;FLUIDMAX;FL-AT-56C;15.07.2016;15.07.2018;24944;10;209;1.4;02.02.2026;Havarijná oprava;60;20/18/15;2;1330,24;V prevádzke
HYT-2113;Recykling SK s.r.o.;Ostatné;Košický;Rozvod stlačeného vzduchu;iné / neznámy;IN-PP-31G;21.09.2023;20.09.2027;3036;10;1762;8.7;11.12.2025;Výmena filtračnej vložky;;nemerané;0;407,18;V prevádzke
HYT-2114;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát lisu;FLUIDMAX;FL-NG-75C;08.03.2020;07.03.2024;9669;250;166;5.6;31.10.2024;Havarijná oprava;47;18/16/13;0;826,61;V prevádzke
HYT-2115;Teplárne Stred a.s.;Energetika;Banskobystrický;Hydraulický zdvíhací stôl;AXIOMA;AX-GP-95F;04.03.2017;04.03.2019;16596;280;163;65.7;07.09.2025;Havarijná oprava;65;20/18/15;3;2677,04;V prevádzke
HYT-2116;Papierne Sever a.s.;Ostatné;Žilinský;Rozvod stlačeného vzduchu;AXIOMA;AX-AT-45A;15.02.2015;14.02.2019;17159;6;1002;19.8;17.06.2025;Preventívna prehliadka;;nemerané;1;1001,63;Na vyradenie
HYT-2117;Mobis Parts SK s.r.o.;Automotive;Žilinský;Čerpadlová jednotka;FLUIDMAX;FL-CH-70E;09.04.2024;09.04.2027;2949;210;38;18.5;08.05.2025;Havarijná oprava;60;17/15/12;0;1123,90;V prevádzke
HYT-2118;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Hydraulický agregát lisu;FLUIDMAX;FL-AT-45B;25.07.2017;24.07.2021;22221;210;79;56.5;10.12.2025;Preventívna prehliadka;36;19/17/14;0;727,62;V prevádzke
HYT-2119;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Hydraulický agregát píly;FLUIDMAX;FL-PC-44C;14.07.2021;13.07.2024;10323;280;73;32.7;08.07.2026;Preventívna prehliadka;54;22/20/17;1;795,69;V prevádzke
HYT-2120;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Chladič kvapalín;PNEUTECH;PN-PC-36G;05.04.2015;04.04.2018;12586;6;289;14.4;15.02.2025;Havarijná oprava;67;nemerané;2;2410,92;V prevádzke
HYT-2121;Bukoza Plus a.s.;Drevospracujúci;Košický;Filtračná stanica;PNEUTECH;PN-CH-78D;15.10.2021;14.10.2024;9326;25;185;7.0;26.05.2025;Preventívna prehliadka;52;18/16/13;0;387,79;V prevádzke
HYT-2122;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Čerpadlová jednotka;PNEUTECH;PN-GP-60G;19.08.2015;18.08.2017;28478;250;63;5.7;14.07.2026;Preventívna prehliadka;71;20/18/15;2;1974,84;V prevádzke
HYT-2123;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Generátor dusíka;AXIOMA;AX-CH-54A;28.02.2018;27.02.2022;21169;8;12;31.0;12.08.2025;Havarijná oprava;;nemerané;2;3200,81;V prevádzke
HYT-2124;Vodohospodár Západ a.s.;Energetika;Bratislavský;Chladič kvapalín;FLUIDMAX;FL-PC-31B;22.10.2025;22.10.2027;1573;10;257;16.7;25.02.2026;Výmena filtračnej vložky;50;17/15/12;0;0,00;V prevádzke
HYT-2125;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Generátor dusíka;FLUIDMAX;FL-PP-88B;16.06.2025;15.06.2029;2455;8;6;12.9;10.10.2025;Výmena filtračnej vložky;;nemerané;0;665,69;V prevádzke
HYT-2126;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Pneumatický ovládací panel;FLUIDMAX;FL-AT-56E;20.12.2020;20.12.2023;8260;7;739;7.3;04.07.2026;Diagnostika a meranie;;nemerané;0;679,76;Obmedzená prevádzka
HYT-2127;Vodohospodár Západ a.s.;Energetika;Bratislavský;Chladiaci okruh oleja;HYDROMET;HY-GP-67C;26.06.2022;25.06.2026;10345;16;104;22.5;03.03.2025;Havarijná oprava;53;18/16/13;0;708,17;V prevádzke
HYT-2128;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Rozvod stlačeného vzduchu;AXIOMA;AX-FL-81G;13.02.2019;12.02.2022;13635;10;307;8.2;15.11.2024;Havarijná oprava;;20/18/15;2;2344,04;V prevádzke
HYT-2129;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Čerpadlová jednotka;HYDROMET;HY-CH-30D;05.08.2015;04.08.2018;23148;280;34;55.6;26.08.2025;Lisovanie hadíc na mieste;62;17/15/12;1;736,10;V prevádzke
HYT-2130;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Chladiaci okruh oleja;FLUIDMAX;FL-PP-51B;14.12.2025;13.12.2028;995;6;208;32.1;07.05.2026;Preventívna prehliadka;75;16/14/11;0;719,36;Odstavené
HYT-2131;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Rozvod stlačeného vzduchu;iné / neznámy;IN-CH-79G;12.08.2018;11.08.2021;12841;8;1553;21.3;26.06.2026;Diagnostika a meranie;;nemerané;0;857,36;V prevádzke
HYT-2132;Teplárne Stred a.s.;Energetika;Banskobystrický;Chladiaci okruh oleja;AXIOMA;AX-NG-71D;01.09.2022;31.08.2026;7811;6;288;23.0;25.08.2026;Lisovanie hadíc na mieste;72;18/16/13;1;1120,30;V prevádzke
HYT-2133;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Filtračná stanica;iné / neznámy;IN-GP-34D;16.01.2016;15.01.2020;14017;16;338;4.8;22.07.2026;Preventívna prehliadka;60;18/16/13;1;363,80;V prevádzke
HYT-2134;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Hydraulický zdvíhací stôl;FLUIDMAX;FL-AT-39D;15.09.2017;15.09.2019;10915;315;88;70.6;09.12.2025;Havarijná oprava;74;22/20/17;2;1714,30;V prevádzke
HYT-2135;Papierne Sever a.s.;Ostatné;Žilinský;Rozvod stlačeného vzduchu;HYDROMET;HY-PP-50C;17.12.2021;17.12.2023;12137;8;726;9.6;23.04.2025;Výmena filtračnej vložky;;nemerané;1;1038,04;V prevádzke
HYT-2136;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Filtračná stanica;AXIOMA;AX-NG-39D;06.11.2017;06.11.2019;10741;16;338;4.2;14.11.2024;Preventívna prehliadka;67;22/20/17;3;2929,08;V prevádzke
HYT-2137;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Generátor dusíka;FLUIDMAX;FL-PP-16A;03.01.2022;02.01.2025;9792;10;12;25.3;01.05.2025;Preventívna prehliadka;;nemerané;0;1682,14;V prevádzke
HYT-2138;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát lisu;AXIOMA;AX-GP-19D;06.04.2022;05.04.2025;7010;210;138;46.4;06.01.2025;Havarijná oprava;66;19/17/14;0;913,64;V prevádzke
HYT-2139;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Chladič kvapalín;AXIOMA;AX-GP-27C;22.12.2023;21.12.2027;4915;10;75;29.0;01.06.2025;Preventívna prehliadka;77;20/18/15;1;829,07;V prevádzke
HYT-2140;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Hydraulický zdvíhací stôl;FLUIDMAX;FL-CH-37E;06.07.2020;06.07.2023;6822;315;104;49.8;29.07.2025;Výmena filtračnej vložky;58;19/17/14;0;0,00;Odstavené
HYT-2141;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Filtračná stanica;FLUIDMAX;FL-PP-47D;11.11.2022;10.11.2025;4603;25;296;1.4;02.10.2025;Preventívna prehliadka;64;17/15/12;0;180,01;V prevádzke
HYT-2142;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Chladič kvapalín;HYDROMET;HY-AT-33C;14.02.2016;13.02.2019;24416;16;180;23.2;26.01.2025;Preventívna prehliadka;61;nemerané;1;1322,71;Odstavené
HYT-2143;Teplárne Stred a.s.;Energetika;Banskobystrický;Čerpadlová jednotka;FLUIDMAX;FL-CH-26B;08.03.2016;08.03.2018;17626;315;151;25.1;20.12.2024;Výmena filtračnej vložky;76;21/19/16;3;1859,86;V prevádzke
HYT-2144;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Generátor dusíka;iné / neznámy;IN-FL-34E;09.06.2020;09.06.2022;13737;8;25;19.3;27.06.2025;Preventívna prehliadka;;nemerané;1;2439,44;V prevádzke
HYT-2145;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Generátor dusíka;FLUIDMAX;FL-PP-14C;13.12.2023;12.12.2026;7149;8;6;13.7;22.05.2025;Havarijná oprava;;nemerané;0;1519,72;V prevádzke
HYT-2146;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Čerpadlová jednotka;PNEUTECH;PN-NG-57G;11.03.2015;10.03.2018;28512;250;140;25.8;25.04.2025;Havarijná oprava;71;21/19/16;3;2333,16;Na vyradenie
HYT-2147;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Pneumatický ovládací panel;PNEUTECH;PN-GP-18D;02.01.2015;01.01.2017;13095;7;1217;17.5;11.05.2025;Výmena filtračnej vložky;;20/18/15;3;2601,62;V prevádzke
HYT-2148;Bukoza Plus a.s.;Drevospracujúci;Košický;Chladič kvapalín;AXIOMA;AX-NG-24B;23.04.2020;23.04.2023;15341;6;287;19.7;20.03.2026;Havarijná oprava;76;16/14/11;2;1794,90;V prevádzke
HYT-2149;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Generátor dusíka;iné / neznámy;IN-NG-55F;14.12.2020;14.12.2022;10607;10;6;21.0;23.07.2025;Preventívna prehliadka;;nemerané;1;2319,55;Odstavené
HYT-2150;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Filtračná stanica;AXIOMA;AX-GP-70A;30.08.2021;29.08.2025;5441;16;276;5.3;13.10.2025;Výmena filtračnej vložky;77;18/16/13;1;1710,28;V prevádzke
HYT-2151;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladiaci okruh oleja;FLUIDMAX;FL-PC-39C;02.02.2023;01.02.2027;5338;6;84;10.1;21.05.2026;Výmena filtračnej vložky;71;18/16/13;0;375,40;V prevádzke
HYT-2152;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Pneumatický ovládací panel;FLUIDMAX;FL-CH-34A;20.11.2025;19.11.2029;2170;7;1664;17.6;22.05.2026;Lisovanie hadíc na mieste;;20/18/15;0;0,00;V prevádzke
HYT-2153;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Generátor dusíka;FLUIDMAX;FL-PP-64G;22.07.2023;21.07.2025;7061;8;12;21.6;30.10.2025;Výmena filtračnej vložky;;nemerané;0;1379,36;V prevádzke
HYT-2154;Bukoza Plus a.s.;Drevospracujúci;Košický;Hydraulický agregát píly;PNEUTECH;PN-PP-89E;11.12.2023;10.12.2025;6777;280;165;22.9;14.12.2024;Havarijná oprava;59;18/16/13;2;2346,03;V prevádzke
HYT-2155;Seating Systems a.s.;Automotive;Bratislavský;Hydraulický zdvíhací stôl;PNEUTECH;PN-FL-84F;08.06.2019;07.06.2021;14514;315;103;70.4;29.08.2026;Havarijná oprava;66;20/18/15;2;1680,61;V prevádzke
HYT-2156;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát lisu;iné / neznámy;IN-GP-17A;23.08.2019;22.08.2021;15658;250;176;8.5;22.08.2026;Preventívna prehliadka;56;18/16/13;1;1462,50;V prevádzke
HYT-2157;Seating Systems a.s.;Automotive;Bratislavský;Filtračná stanica;FLUIDMAX;FL-GP-39D;22.01.2020;21.01.2022;6047;10;239;1.3;26.05.2025;Výmena filtračnej vložky;57;18/16/13;1;1287,40;V prevádzke
HYT-2158;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Rozvod stlačeného vzduchu;FLUIDMAX;FL-CH-98B;28.10.2024;28.10.2026;2098;6;240;12.8;11.09.2026;Výmena filtračnej vložky;;16/14/11;0;380,55;V prevádzke
HYT-2159;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Hydraulický zdvíhací stôl;PNEUTECH;PN-FL-41F;05.01.2024;04.01.2026;2912;210;147;12.8;11.02.2025;Preventívna prehliadka;41;16/14/11;0;479,99;V prevádzke
HYT-2160;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Chladiaci okruh oleja;FLUIDMAX;FL-PP-58G;09.07.2025;09.07.2027;2548;16;139;20.9;15.01.2025;Preventívna prehliadka;53;16/14/11;0;187,37;V prevádzke
HYT-2161;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Hydraulický agregát píly;FLUIDMAX;FL-GP-24F;28.03.2020;27.03.2024;13874;280;116;67.3;20.09.2025;Uvedenie do prevádzky;50;20/18/15;1;694,53;V prevádzke
HYT-2162;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Pneumatický ovládací panel;PNEUTECH;PN-GP-52B;30.04.2023;29.04.2026;7851;8;948;21.7;10.03.2025;Preventívna prehliadka;;nemerané;1;1336,54;V prevádzke
HYT-2163;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Pneumatický ovládací panel;iné / neznámy;IN-AT-19A;31.03.2025;30.03.2028;2549;7;1412;7.1;23.11.2025;Výmena filtračnej vložky;;nemerané;0;0,00;V prevádzke
HYT-2164;Mobis Parts SK s.r.o.;Automotive;Žilinský;Filtračná stanica;iné / neznámy;IN-PP-40G;28.05.2025;27.05.2028;1975;10;158;6.7;09.07.2025;Uvedenie do prevádzky;53;16/14/11;0;0,00;V prevádzke
HYT-2165;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladiaci okruh oleja;FLUIDMAX;FL-PC-24D;19.12.2017;18.12.2020;14337;6;270;24.0;03.06.2026;Preventívna prehliadka;59;22/20/17;1;708,70;Obmedzená prevádzka
HYT-2166;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Rozvod stlačeného vzduchu;PNEUTECH;PN-CH-34E;21.01.2026;20.01.2029;1456;10;875;20.4;21.01.2026;Uvedenie do prevádzky;;nemerané;1;465,39;V prevádzke
HYT-2167;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Filtračná stanica;AXIOMA;AX-PP-97B;30.11.2021;29.11.2024;12139;25;249;6.3;14.10.2025;Výmena filtračnej vložky;71;18/16/13;1;384,61;V prevádzke
HYT-2168;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický zdvíhací stôl;FLUIDMAX;FL-PP-79E;17.05.2025;17.05.2027;1731;210;180;31.3;14.05.2025;Preventívna prehliadka;58;17/15/12;0;694,38;V prevádzke
HYT-2169;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Pneumatický ovládací panel;AXIOMA;AX-GP-58E;21.08.2018;20.08.2020;18394;7;1780;12.4;03.02.2025;Lisovanie hadíc na mieste;;nemerané;1;1294,83;V prevádzke
HYT-2170;Mobis Parts SK s.r.o.;Automotive;Žilinský;Hydraulický agregát píly;FLUIDMAX;FL-GP-21C;25.07.2018;24.07.2020;16579;280;174;73.4;02.05.2026;Preventívna prehliadka;49;19/17/14;0;414,80;V prevádzke
HYT-2171;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Rozvod stlačeného vzduchu;FLUIDMAX;FL-FL-85C;26.11.2019;25.11.2021;14277;8;1647;13.2;22.08.2026;Havarijná oprava;;nemerané;0;193,38;Obmedzená prevádzka
HYT-2172;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Rozvod stlačeného vzduchu;FLUIDMAX;FL-PC-11D;22.12.2022;21.12.2024;4808;10;404;10.0;20.11.2025;Výmena filtračnej vložky;;nemerané;0;83,40;V prevádzke
HYT-2173;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Chladiaci okruh oleja;FLUIDMAX;FL-CH-82D;13.04.2019;12.04.2023;16680;10;339;20.0;05.08.2026;Preventívna prehliadka;57;21/19/16;1;844,47;V prevádzke
HYT-2174;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-CH-98B;13.06.2017;12.06.2021;10294;16;342;33.6;22.05.2025;Preventívna prehliadka;70;nemerané;2;1519,14;V prevádzke
HYT-2175;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický zdvíhací stôl;FLUIDMAX;FL-FL-59A;12.09.2015;11.09.2018;24343;250;64;46.6;25.02.2025;Havarijná oprava;68;21/19/16;3;1958,30;V prevádzke
HYT-2176;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Hydraulický agregát píly;iné / neznámy;IN-CH-48C;15.07.2017;14.07.2020;14518;315;82;11.7;17.06.2026;Havarijná oprava;65;20/18/15;2;989,51;V prevádzke
HYT-2177;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Čerpadlová jednotka;FLUIDMAX;FL-AT-11A;06.01.2024;05.01.2027;5421;250;28;30.2;06.04.2026;Výmena filtračnej vložky;58;18/16/13;0;312,95;Odstavené
HYT-2178;Recykling SK s.r.o.;Ostatné;Košický;Hydraulický agregát píly;FLUIDMAX;FL-PP-81G;13.10.2023;12.10.2026;5081;315;143;49.5;03.08.2026;Preventívna prehliadka;47;19/17/14;1;1008,81;V prevádzke
HYT-2179;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Rozvod stlačeného vzduchu;iné / neznámy;IN-CH-21A;23.05.2020;23.05.2022;12633;8;1441;10.3;15.04.2025;Havarijná oprava;;nemerané;2;1790,02;V prevádzke
HYT-2180;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Generátor dusíka;FLUIDMAX;FL-PP-35B;22.11.2018;21.11.2022;18902;10;12;36.4;30.04.2025;Preventívna prehliadka;;nemerané;0;1622,68;V prevádzke
HYT-2181;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Chladič kvapalín;iné / neznámy;IN-PC-43E;24.09.2021;23.09.2025;5492;6;374;20.0;03.09.2026;Preventívna prehliadka;54;19/17/14;0;184,55;V prevádzke
HYT-2182;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Hydraulický agregát píly;iné / neznámy;IN-PC-73A;17.02.2022;16.02.2025;10140;160;118;57.9;01.11.2024;Diagnostika a meranie;36;18/16/13;0;235,66;V prevádzke
HYT-2183;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Hydraulický zdvíhací stôl;AXIOMA;AX-FL-98E;30.03.2020;30.03.2022;12675;210;69;39.4;27.01.2026;Výmena filtračnej vložky;77;17/15/12;1;1605,44;V prevádzke
HYT-2184;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladič kvapalín;FLUIDMAX;FL-CH-10D;30.05.2025;30.05.2027;2695;10;195;8.5;03.09.2026;Diagnostika a meranie;77;17/15/12;2;1367,93;V prevádzke
HYT-2185;Seating Systems a.s.;Automotive;Bratislavský;Hydraulický zdvíhací stôl;HYDROMET;HY-PP-83D;21.12.2022;20.12.2024;7108;160;77;67.8;24.09.2025;Havarijná oprava;56;16/14/11;0;1156,54;V prevádzke
HYT-2186;Papierne Sever a.s.;Ostatné;Žilinský;Rozvod stlačeného vzduchu;AXIOMA;AX-PP-77D;19.07.2023;18.07.2026;6104;8;207;14.0;28.03.2026;Výmena filtračnej vložky;;nemerané;0;460,69;V prevádzke
HYT-2187;Papierne Sever a.s.;Ostatné;Žilinský;Chladiaci okruh oleja;FLUIDMAX;FL-PP-21A;01.06.2022;31.05.2026;10949;10;275;11.8;31.01.2025;Preventívna prehliadka;53;22/20/17;1;1238,67;V prevádzke
HYT-2188;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Pneumatický ovládací panel;HYDROMET;HY-NG-32A;06.01.2020;05.01.2023;10924;8;408;5.0;03.04.2025;Preventívna prehliadka;;nemerané;1;441,87;V prevádzke
HYT-2189;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Filtračná stanica;PNEUTECH;PN-AT-44C;18.07.2018;17.07.2021;10999;25;299;1.3;23.04.2026;Výmena filtračnej vložky;65;21/19/16;3;2229,58;V prevádzke
HYT-2190;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Generátor dusíka;iné / neznámy;IN-GP-84C;24.02.2019;23.02.2022;9687;10;12;10.2;16.09.2026;Preventívna prehliadka;;17/15/12;0;1635,40;Odstavené
HYT-2191;Mobis Parts SK s.r.o.;Automotive;Žilinský;Čerpadlová jednotka;HYDROMET;HY-GP-72D;19.07.2019;18.07.2022;10374;280;112;17.7;15.12.2024;Výmena filtračnej vložky;57;nemerané;1;974,97;V prevádzke
HYT-2192;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-GP-84A;12.05.2024;12.05.2026;2875;6;131;10.0;19.02.2026;Preventívna prehliadka;73;18/16/13;1;1531,68;V prevádzke
HYT-2193;Mobis Parts SK s.r.o.;Automotive;Žilinský;Generátor dusíka;AXIOMA;AX-FL-49A;21.07.2018;20.07.2021;16865;10;25;6.9;16.01.2026;Preventívna prehliadka;;nemerané;0;878,07;V prevádzke
HYT-2194;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Filtračná stanica;PNEUTECH;PN-PC-21D;01.04.2019;31.03.2021;15862;10;86;3.9;01.04.2025;Havarijná oprava;57;18/16/13;0;513,09;V prevádzke
HYT-2195;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Filtračná stanica;FLUIDMAX;FL-PC-66C;29.03.2020;29.03.2022;12681;16;274;1.4;04.05.2025;Preventívna prehliadka;59;18/16/13;0;424,19;V prevádzke
HYT-2196;Teplárne Stred a.s.;Energetika;Banskobystrický;Hydraulický agregát píly;FLUIDMAX;FL-AT-83G;18.08.2018;17.08.2020;16153;280;32;16.0;28.09.2025;Preventívna prehliadka;87;19/17/14;2;2081,76;V prevádzke
HYT-2197;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Pneumatický ovládací panel;FLUIDMAX;FL-CH-90B;30.08.2024;30.08.2027;2914;7;652;1.7;19.04.2025;Preventívna prehliadka;;nemerané;0;632,36;V prevádzke
HYT-2198;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Hydraulický agregát lisu;FLUIDMAX;FL-NG-76B;07.01.2026;06.01.2029;848;160;49;18.6;17.04.2026;Uvedenie do prevádzky;72;16/14/11;1;1111,86;Obmedzená prevádzka
HYT-2199;Vodohospodár Západ a.s.;Energetika;Bratislavský;Čerpadlová jednotka;PNEUTECH;PN-PP-41C;05.08.2017;05.08.2019;23186;280;167;62.3;26.07.2026;Havarijná oprava;62;20/18/15;2;2146,26;Obmedzená prevádzka
HYT-2200;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Hydraulický agregát lisu;AXIOMA;AX-FL-81A;21.05.2016;20.05.2020;13949;280;114;26.8;03.07.2025;Havarijná oprava;75;20/18/15;2;1698,64;Obmedzená prevádzka
HYT-2201;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Čerpadlová jednotka;HYDROMET;HY-GP-32E;08.04.2021;07.04.2024;12091;160;163;49.7;06.01.2026;Preventívna prehliadka;67;22/20/17;1;795,03;Na vyradenie
HYT-2202;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Chladiaci okruh oleja;HYDROMET;HY-AT-37D;14.09.2020;14.09.2022;8129;10;121;38.0;28.11.2024;Výmena filtračnej vložky;72;nemerané;0;852,91;V prevádzke
HYT-2203;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Pneumatický ovládací panel;FLUIDMAX;FL-PC-35F;11.09.2021;11.09.2023;10565;8;977;17.1;01.04.2025;Havarijná oprava;;nemerané;0;240,05;V prevádzke
HYT-2204;Vodohospodár Západ a.s.;Energetika;Bratislavský;Rozvod stlačeného vzduchu;HYDROMET;HY-AT-22G;19.09.2021;18.09.2024;7173;7;1093;7.6;07.06.2026;Výmena filtračnej vložky;;17/15/12;0;241,63;Odstavené
HYT-2205;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Pneumatický ovládací panel;HYDROMET;HY-PC-54A;22.06.2019;21.06.2022;18539;7;493;20.9;17.04.2025;Výmena filtračnej vložky;;20/18/15;3;2590,15;V prevádzke
HYT-2206;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Chladič kvapalín;AXIOMA;AX-NG-95C;16.09.2020;16.09.2022;15032;16;188;39.2;06.11.2025;Preventívna prehliadka;56;20/18/15;0;0,00;V prevádzke
HYT-2207;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Generátor dusíka;iné / neznámy;IN-FL-18C;07.09.2021;07.09.2023;6722;8;12;12.5;18.12.2024;Diagnostika a meranie;;19/17/14;0;685,02;V prevádzke
HYT-2208;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Chladič kvapalín;HYDROMET;HY-CH-86B;26.09.2024;25.09.2028;5148;16;263;12.4;25.12.2024;Výmena filtračnej vložky;74;19/17/14;1;1120,68;V prevádzke
HYT-2209;Mobis Parts SK s.r.o.;Automotive;Žilinský;Generátor dusíka;iné / neznámy;IN-FL-27D;08.06.2018;07.06.2021;16592;10;6;5.7;26.02.2026;Výmena filtračnej vložky;;nemerané;1;2373,61;V prevádzke
HYT-2210;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Čerpadlová jednotka;AXIOMA;AX-CH-97D;05.03.2021;05.03.2023;14457;315;75;42.7;26.03.2025;Uvedenie do prevádzky;59;nemerané;1;1308,37;V prevádzke
HYT-2211;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Čerpadlová jednotka;PNEUTECH;PN-PP-97B;31.03.2019;30.03.2021;14152;315;147;20.2;11.09.2026;Výmena filtračnej vložky;66;18/16/13;0;539,38;V prevádzke
